## Classical Chinese Character Frequency List
## 古汉语单字频率列表
## 拼音取自于http://www.mandarintools.com/cedict.html, http://www.chinese-forums.com/vocabulary/和http://sh.netsh.com/bbs/1951/。
## 英文翻译来自于CEDICT at http://www.mandarintools.com/cedict.html
## Columns are tab delimited. 行间分隔符为Tab键。
## http://lingua.mtsu.edu/chinese-computing/statistics/index.html
## http://lingua.mtsu.edu/chinese-computing/statistics/char/download.php?Which=CL
id	character	occurrences	frequency	pinyins	traductions
1502	掩	6780	89.0572141198	yan3	cover up/to surprise
1503	彭	6775	89.0675815913	peng2	(surname)
1504	倚	6774	89.0779475326	yi3	to lean on/rely upon
1505	浪	6737	89.0882568545	lang4	wave/breaker/unrestrained/dissipated
1506	陪	6733	89.0985600554	pei2	to accompany/to keep sb. company
1507	殊	6728	89.108855605	shu1	unique
1508	拥	6722	89.1191419731	yong1	(v) gather round/rush in/crowd/throng/to hold/crowded/to support
1509	倘	6707	89.1294053873	tang3	if
1510	朋	6699	89.1396565596	peng2	friend
1511	革	6696	89.149903141	ge2	leather/remove
1512	悄	6689	89.1601390107	qiao3/qiao1	quiet/sad
1513	拉	6688	89.1703733502	la1	to pull/to play (string instruments)/to drag/to draw
1514	驻	6676	89.1805893266	zhu4	resident in/stationed in/located at/to station (troops)
1515	亏	6673	89.1908007122	kui1	deficiency/deficit
1516	汗	6672	89.2010105676	han4	perspiration/sweat
1517	咱	6670	89.2112173624	za2/zan2	we (incl.), we (incl.)
1518	祐	6668	89.2214210968	you4
1519	缓	6667	89.2316233009	huan3	slow/sluggish/gradual/to postpone
1520	於	6642	89.2417872486	yu1/yu2	(surname)
1521	疲	6641	89.2519496661	pi2	weary
1522	熟	6636	89.2621044324	shu2	familiar/skilled/ripe/done/ripe/cooked
1523	派	6635	89.2722576683	pai4	clique/school/group/faction/to dispatch
1524	弦	6635	89.2824109043	xian2	bow string/string of mus. instr., string of mus. instr.
1525	姚	6635	89.2925641403	yao2	Yao (a surname)
1526	予	6635	89.3027173763	yu2/yu3	I, to give
1527	毁	6634	89.312869082	hui3	to destroy/to damage/to ruin, blaze/destroy by fire, defame/to slander
1528	际	6634	89.3230207877	ji4	border/edge/boundary/between/among/interval/while
1529	惺	6627	89.3331617816	xing1	tranquil/understand
1530	悟	6610	89.3432767613	wu4	comprehend
1531	盈	6600	89.3533764383	ying2	full/filled/surplus
1532	式	6593	89.3634654036	shi4	type/form/pattern/style
1533	健	6591	89.3735513084	jian4	healthy
1534	叩	6585	89.3836280317	kou4	knock
1535	输	6581	89.393698634	shu1	to transport/to lose
1536	模	6570	89.4037524034	mo2	imitate/model/norm/pattern
1537	厅	6552	89.4137786283	ting1	(reception) hall/office
1538	鹿	6544	89.4237926111	lu4	deer
1539	玩	6541	89.4338020032	wan2/wan4	curios/antiques/to play/to amuse oneself, curios/antiques
1540	夹	6527	89.4437899718	jia1/jia2	clip/folder/hold between/to press from both sides/to place in between, hold between/lined/narrow lane
1541	冰	6510	89.453751926	bing1	ice
1542	庐	6506	89.4637077592	lu2	hut
1543	劫	6491	89.4736406386	jie2	plunder
1544	焚	6485	89.4835643364	fen2	burn
1545	腹	6485	89.4934880343	fu4	abdomen/stomach/belly
1546	俟	6473	89.5033933691	si4	until/wait for
1547	伊	6470	89.5132941131	yi1	he/she/(surname)/Iraq (abbrev.)
1548	昼	6469	89.5231933269	zhou4	daytime
1549	享	6440	89.5330481633	xiang3	enjoy
1550	樱	6438	89.5428999393	ying1	cherry
1551	辏	6433	89.5527440639	cou4	converge/hub of wheel
1552	嘴	6422	89.5625713557	zui3	mouth
1553	婢	6412	89.5723833451	bi4	slave girl/maid servant
1554	撸	6407	89.5821876831	lu1
1555	究	6382	89.5919537648	jiu1	after all/to investigate/to study carefully
1556	倾	6379	89.6017152557	qing1	to overturn/to collapse/to lean/to tend/to incline/to pour out
1557	倍	6372	89.6114660348	bei4	(two, three, etc) -fold/times (multiplier)/double/to increase or multiply
1558	葛	6367	89.6212091627	ge2/ge3	coarse grass linen, (surname)
1559	尼	6350	89.6309262763	ni2	Buddhist nun/(often used in phonetic spellings)
1560	维	6347	89.6406387991	wei2	to preserve/to maintain/to hold together/dimension
1561	弼	6340	89.6503406101	bi4	assist
1562	旋	6333	89.6600317093	xuan2/xuan4	revolve, lathe/specially for an occasion
1563	迷	6316	89.6696967942	mi2	bewilder/crazy about/fan/enthusiast/lost/confused
1564	含	6315	89.6793603489	han2	to keep/to contain
1565	琼	6315	89.6890239035	qiong2	(red stone)/beautiful
1566	毒	6302	89.6986675649	du2	poison/narcotics
1567	舜	6301	89.708309696	shun4	name of an emperor
1568	吟	6301	89.7179518271	yin2	moan/to hum
1569	优	6292	89.7275801859	you1	excellent/superior
1570	序	6284	89.7371963027	xu4	order/sequence/preface
1571	腰	6274	89.746797117	yao1	waist
1572	蒋	6268	89.7563887497	jiang3	(surname)
1573	戍	6266	89.7659773219	shu4	garrison
1574	晕	6257	89.7755521218	yun1/yun4	confused/dizzy/giddy/faint/swoon/lose consciousness/pass out, dizzy/ring around moon or sun
1575	侧	6246	89.7851100889	ce4/zhai1	the side/to incline towards/to lean/inclined/lateral/side, lean on one side
1576	苍	6239	89.7946573443	cang1	dark blue/fly/musca/deep green
1577	邦	6231	89.8041923576	bang1	a state/country or nation
1578	隔	6230	89.8137258407	ge2	to separate/to stand or lie between/to divide/to cut off
1579	牌	6229	89.8232577935	pai2	cards/game pieces/signboard/plate/tablet
1580	娶	6219	89.8327744437	qu3	take a wife
1581	狗	6218	89.8422895637	gou3	dog
1582	普	6214	89.8517985627	pu3	general/popular/everywhere/universal
1583	锋	6210	89.8613014407	feng1	point or edge of a tool
1584	荡	6196	89.8707828951	dang4	a pond/pool/wash/squander/sweep away/move/shake/dissolute
1585	劾	6190	89.880255168	he2	impeach
1586	鹤	6187	89.8897228502	he4	crane
1587	它	6185	89.8991874718	ta1	it
1588	津	6160	89.9086138371	jin1	Tianjin/ferry
1589	嫂	6159	89.9180386721	sao3	older brother's wife; sister-in-law
1590	姨	6155	89.9274573861	yi2	one's mother's sister/aunt
1591	款	6128	89.9368347832	kuan3	section/paragraph/funds
1592	菜	6125	89.9462075896	cai4	dish (type of food)/vegetables
1593	递	6115	89.9555650935	di4	to hand over/to pass/to give
1594	卑	6098	89.964896583	bei1	low/base/vulgar/inferior/humble
1595	牢	6096	89.974225012	lao2	firm/fast
1596	稷	6089	89.9835427292	ji4	(millet)
1597	饶	6081	89.9928482044	rao2	(surname)/to spare
1598	苑	6059	90.002120014	yuan4	(surname)/park
1599	板	6057	90.0113887631	ban3	board/plank/plate/slab, boss
1600	弊	6052	90.020649861	bi4	detriment/fraud/harm/defeat
1601	囚	6050	90.0299078983	qiu2	prisoner
1602	妄	6050	90.0391659356	wang4	absurd/fantastic
1603	杰	6019	90.0483765351	jie2	hero/heroic
1604	悔	6015	90.0575810135	hui3	regret
1605	铺	6014	90.0667839617	pu1/pu4	to spread, a store, a bed/a store
1606	扇	6006	90.0759746678	shan1/shan4	to fan, (a measure word for doors, windows, etc.)
1607	坛	6000	90.0851561924	tan2	altar
1608	毋	5999	90.0943361868	wu2	no/not
1609	娇	5996	90.1035115904	jiao1	lovable/pampered/tender/delicate/frail
1610	束	5996	90.112686994	shu4	bunch/(a measure word)/to bind/to control
1611	抬	5996	90.1218623976	tai2	to lift/to raise/(of two or more persons) to carry
1612	渊	5991	90.1310301499	yuan1	abyss
1613	暮	5978	90.140178009	mu4	evening/sunset
1614	皋	5977	90.1493243377	gao1	bank/marsh
1615	阻	5955	90.1584370009	zu3	to hinder/to block/to obstruct
1616	衰	5953	90.1675466036	cui1/shuai1	mourning garments, weak/feeble/decline/wane
1617	价	5947	90.1766470247	jia4/jie	price/value/valence (on an atom), great/good/middleman/servant
1618	途	5946	90.1857459156	tu2	way/route/road
1619	贰	5945	90.1948432763	er4	two (fraud-proof)
1620	柱	5942	90.2039360462	zhu4	pillar
1621	姊	5938	90.213022695	zi3	older sister
1622	琴	5916	90.2220756783	qin2	(mus. instr.)
1623	匡	5906	90.231113359	kuang1	correct
1624	味	5906	90.2401510398	wei4	taste
1625	辉	5879	90.2491474036	hui1	bright/glorious
1626	婚	5871	90.2581315255	hun1	to marry/marriage/wedding/to take a wife
1627	暂	5869	90.2671125868	zan4	temporarily
1628	霸	5867	90.2760905876	ba4	feudal chief/rule by force/tyrant/lord/master/hegemon/usurp
1629	冢	5860	90.2850578767	zhong3	great/mound, mound
1630	伪	5845	90.2940022119	wei3	false/fake/forged/bogus
1631	仔	5837	90.3029343051	zi1/zi3/zai3	duty/responsibility, minutely/young
1632	项	5835	90.3118633378	xiang4	(surname)/back of neck/item/thing
1633	趣	5823	90.3207740074	qu4	interesting/to interest
1634	弗	5820	90.3296800863	fu2	not
1635	袖	5816	90.3385800442	xiu4	sleeve
1636	麻	5801	90.3474570482	ma2	(to have) pins and needles/tingling/hemp/numb/to bother
1637	展	5801	90.3563340523	zhan3	to use/to spread out/to postpone/to unfold
1638	辨	5799	90.3652079958	bian4	distinguish/recognize
1639	介	5791	90.3740696973	jie4	introduce/lie between/between
1640	尧	5774	90.3829053845	yao2	(surname)/emperor Yao
1641	编	5770	90.3917349507	bian1	weave/plait/organize/group/arrange/edit/compile/write/compose/fabricate
1642	趋	5762	90.4005522748	qu1	to hasten/to hurry/walk fast
1643	聪	5741	90.4093374636	cong1	quick at hearing/wise/clever/sharp-witted/intelligent/acute
1644	块	5733	90.4181104104	kuai1/kuai4	piece/chunk/lump/(measure word for chunks, lumps), yuan (unit of currency)/fast (of a watch)/swift/rapid/happy/joyful/soon/quick/(a measure word, for cloth, cake, soap)
1645	距	5731	90.4268802967	ju4	at a distance of/distance/to be apart
1646	扰	5729	90.4356471224	rao3	disturb
1647	屏	5725	90.4444078272	bing3/ping2	get rid of/put aside/reject/keep control/hold back, (standing) screen
1648	驱	5722	90.4531639411	qu1	to expel/to urge on/to drive/to run quickly
1649	腾	5719	90.4619154644	teng2	to soar/to gallop/to rise/to prance/to hover/to move out
1650	辱	5708	90.4706501548	ru3	disgrace/insult
1651	睿	5697	90.4793680124	rui4	astute/perspicacious/farsighted
1652	舒	5695	90.4880828095	shu1	(surname)/relax
1653	泄	5691	90.4967914856	xie4	divulge/leak out
1654	秩	5684	90.5054894499	zhi4	order/orderliness
1655	庸	5682	90.5141843538	yong1	ordinary/to use
1656	押	5671	90.5228624248	ya1	detain in custody
1657	盟	5666	90.5315328445	meng2	oath/pledge/union/to ally
1658	烛	5663	90.5401986735	zhu2	candle
1659	艺	5654	90.5488507302	yi4	skill/art
1660	岩	5632	90.5574691213	yan2	cliff/rock, cliff
1661	偶	5631	90.5660859822	ou3	accidental/image/pair/mate
1662	缺	5620	90.5746860102	que1	lack/scarce/vacant post/to run short of
1663	肆	5601	90.5832569635	si4	four (fraud-proof)/market
1664	证	5599	90.5918248562	zheng4	prove, confirm, verify/proof, certificate/proof/to prove/to demonstrate/to confirm/certificate/proof
1665	僚	5592	90.6003820371	liao2	bureaucrat
1666	玻	5590	90.6089361576	bo1	glass
1667	续	5589	90.6174887477	xu4	continue/replenish
1668	阅	5577	90.6260229749	yue4	peruse/review/to read
1669	裁	5572	90.6345495507	cai2	cut out (as a dress)/cut/trim/reduce/diminish/decision/judgment
1670	纲	5507	90.6429766601	gang1	head rope of a fishing net/guiding principle/key link/class (taxonomy)/outline/program
1671	履	5504	90.6513991787	lu:3/lv3	shoe/to tread on
1672	敏	5501	90.6598171065	min3	keen
1673	厉	5488	90.668215141	li4	severe
1674	庵	5488	90.6766131755	an1	hut/Buddhist convent/small Buddhist temple
1675	黎	5476	90.684992847	li2	(surname)/black/abbreviation for Lebanon
1676	窦	5464	90.6933541554	dou4	(surname)/sinus (anatom.)
1677	荷	5463	90.7017139336	he2/he4	lotus, peppermint/to carry burden
1678	敝	5460	90.710069121	bi4	my (polite)/poor/ruined/shabby/worn out/defeated
1679	鉴	5458	90.7184212479	jian4	example/mirror/to view/reflection/to reflect/to inspect/to warn/(ancient bronze mirror)
1680	墨	5454	90.7267672537	mo4	China ink/ink stick
1681	狂	5448	90.7351040781	kuang2	conceited/mad
1682	逾	5445	90.7434363117	yu2	exceed/jump over, to exceed/to go beyond/to jump over
1683	基	5439	90.7517593637	ji1	base/foundation/basic/radical (chem.)
1684	币	5428	90.760065583	bi4	money/coins/currency
1685	巾	5426	90.7683687418	jin1	towel
1686	纯	5419	90.7766611888	chun2	pure/simple/unmixed/genuine
1687	欺	5412	90.784942924	qi1	take unfair advantage of/to deceive/to cheat
1688	览	5411	90.7932231289	lan3	look over/to view
1689	敦	5407	90.8014972129	dun1	kind-hearted, kind-hearted/place name
1690	胆	5380	90.8097299799	dan3	the gall/the nerve/courage/guts/gall bladder
1691	嫌	5375	90.8179550957	xian2	to dislike/to suspect
1692	帘	5366	90.8261664393	lian2	wine shop sign
1693	涂	5364	90.8343747223	tu2	to smear/daub, (surname)/to smear/daub/to apply (paint)/to spread
1694	黛	5361	90.8425784145	dai4	umber-black dye for painting the eyebrow
1695	遁	5356	90.8507744555	dun4	disappear/to escape
1696	兹	5352	90.8589643754	zi1	herewith
1697	旅	5351	90.8671527651	lu:3/lv3	trip/travel
1698	弹	5345	90.8753319733	dan4/tan2	crossball/bullet/shot/shell/ball, impeach/to pluck a string/to play (a stringed musical instrument with fingers)
1699	柴	5341	90.8835050605	chai2	(surname)/firewood
1700	繁	5341	90.8916781477	fan2	complicated/many/in great numbers
1701	蒲	5331	90.8998359323	pu2	calamus
1702	循	5331	90.9079937169	xun2	to follow/to adhere to/to abide by
1703	协	5329	90.916148441	xie2	cooperate/harmonize/to help/to assist/to join
1704	躬	5326	90.9242985744	gong1	body/oneself/personally/to bow
1705	帖	5321	90.9324410564	tie1/tie3/tie4	fit snugly, invitation card/notice, rubbing from incised inscription
1706	衔	5317	90.9405774175	xian2	hold in mouth, hold in mouth/nominal office
1707	焦	5311	90.9487045971	jiao1	burnt/scorched/worried/anxious
1708	呈	5303	90.9568195346	cheng2	to assume (a form)/to submit/to petition/to show/to present/to offer
1709	悬	5299	90.9649283511	xuan2	hang/suspend
1710	镜	5298	90.9730356373	jing4	mirror
1711	贝	5293	90.9811352723	bei4	cowries/shell/valuables/shellfish
1712	羞	5290	90.9892303165	xiu1	shy/ashamed/shame/bashful
1713	桌	5282	90.9973131186	zhuo1	table
1714	吊	5278	91.0053897998	diao4	to hang a person, condole with/hang
1715	冒	5256	91.0134328154	mao4	brave/bold/to cover
1716	钞	5254	91.0214727704	chao1	money/paper money
1717	衍	5248	91.0295035439	yan3	to spread out/to develop/to overflow/to amplify
1718	邀	5238	91.0375190149	yao1	invite to come
1719	浦	5224	91.0455130624	pu3	beach
1720	俭	5219	91.0534994585	jian3	frugal/to be in need
1721	逸	5207	91.0614674916	yi4	escape/leisurely/outstanding
1722	颍	5206	91.0694339945	ying3
1723	粗	5198	91.0773882553	cu1	coarse/rough/thick/unfinished/vulgar/rude/crude
1724	潘	5191	91.0853318044	pan1	(surname)
1725	课	5188	91.0932707627	ke4	subject/class/lesson
1726	粉	5181	91.1011990092	fen3	dust/powder
1727	淳	5170	91.1091104229	chun2	genuine/pure/honest
1728	巨	5162	91.1170095946	ju4	very large/huge/tremendous/gigantic
1729	聘	5153	91.124894994	pin4	betrothed/engage (teacher)/hire
1730	矢	5153	91.1327803934	shi3	arrow/dart
1731	墓	5145	91.1406535507	mu4	tomb
1732	蛇	5136	91.1485129358	she2	snake/serpent
1733	默	5131	91.1563646696	mo4	silent/write from memory
1734	贬	5126	91.1642087521	bian3	to diminish/to demote/reduce or devaluate/disparage/censure/depreciate
1735	涉	5126	91.1720528347	she4	involve/concern/wade/to experience
1736	割	5111	91.1798739634	ge1	cut off
1737	缄	5111	91.1876950921	jian1	letters/to close/seal
1738	痴	5110	91.1955146906	chi1	imbecile/sentimental/stupid/foolish/silly, imbecile/sentimental
1739	兽	5098	91.203315926	shou4	beast/quadruped
1740	驿	5085	91.2110972681	yi4	remount stations
1741	锁	5083	91.2188755497	suo3	to lock up/to lock
1742	晁	5075	91.2266415893	chao2	(surname)
1743	浅	5060	91.234384675	jian1/qian3	sound of moving water, shallow
1744	呀	5051	91.2421139885	ya/ya1	(final part.)
1745	妆	5045	91.2498341205	zhuang1	adornment/adorn
1746	宦	5039	91.2575450709	huan4	an official
1747	拨	5036	91.2652514305	bo1	to push aside/to appropriate (money)/to move/to set aside/group/batch/to poke/to stir
1748	鸾	5028	91.2729455482	luan2	(mythical bird)
1749	勉	5018	91.2806243633	mian3	exhort
1750	晏	5007	91.2882863456	yan4	(surname)/late/quiet
1751	另	4989	91.2959207833	ling4	other/another/separate/separately
1752	恢	4987	91.3035521605	hui1	to restore/to recover/great
1753	蝗	4982	91.3111758864	huang2	locust
1754	灰	4981	91.3187980821	hui1	gray/ash
1755	敛	4979	91.3264172173	lian3	arrange/control oneself/gather
1756	妨	4977	91.334033292	fang2	hinder/harm
1757	辩	4959	91.3416218221	bian4	dispute/debate/argue/discuss
1758	坊	4952	91.3491996404	fang1	subdivision of a city
1759	拟	4952	91.3567774587	ni3	plan to
1760	媳	4950	91.3643522165	xi2	daughter in law
1761	龟	4949	91.3719254441	gui1	tortoise/turtle
1762	婿	4938	91.3794818388	xu4	son-in-law
1763	浩	4937	91.3870367033	hao4	grand/vast (water)
1764	佩	4919	91.3945640233	pei4	to respect/wear (belt, etc.), girdle ornaments
1765	拱	4916	91.4020867524	gong3	fold hands in salute/to arch
1766	朗	4914	91.4096064211	lang3	clear/bright
1767	戮	4906	91.4171138477	lu4	kill
1768	诵	4901	91.4246136231	song4	read aloud
1769	粟	4901	91.4321133984	su4	grain/millet
1770	绛	4899	91.4396101133	jiang4	purple-red
1771	捷	4898	91.4471052979	jie2	victory/triumph/quick/prompt/rapid
1772	荩	4889	91.4545867102	jin4	Arthraxon ciliare/loyal
1773	诈	4885	91.4620620015	zha4	crafty/dishonest
1774	霜	4880	91.4695296415	shuang1	frost
1775	懿	4874	91.4769881	yi4	restrain/virtuous
1776	晨	4866	91.4844343165	chen2	morning/dawn/daybreak
1777	毫	4865	91.4918790027	hao2	hair/drawing brush/(in the) least/one thousandth
1778	渠	4863	91.4993206284	qu2	big/stream or canal/drain/ditch
1779	柔	4848	91.5067393003	rou2	soft
1780	羌	4846	91.5141549117	qiang1	educated/name of a tribe/strong
1781	闷	4832	91.5215490995	men1/men4	smother/stuffy, melancholy
1782	逊	4829	91.5289386966	xun4	to yield
1783	狼	4828	91.5363267634	lang2	wolf
1784	搭	4820	91.5437025881	da1	build (scaffolding)/take (boat, train)/hang/join/match/take passage
1785	姜	4819	91.5510768827	jiang1	(surname)/ginger, ginger
1786	矗	4816	91.5584465864	chu4	lofty/upright
1787	猎	4814	91.5658132297	lie4	hunting
1788	鞭	4810	91.5731737519	bian1	a whip or lash/to flog/slash or whip
1789	勾	4808	91.5805312136	gou1/gou4	to cancel/to delineate/hook, affair/to reach for (with hand)
1790	耕	4806	91.5878856149	geng1	to plow/to till
1791	茫	4804	91.5952369556	mang2	vague/vast
1792	吗	4802	91.6025852358	ma3/ma	morphine, (question tag)
1793	揖	4800	91.6099304555	yi1	greet (by raising the joined hands)
1794	标	4797	91.6172710844	biao1	the topmost branches of a tree/surface/sign/to mark/(outward) sign/indication/prize/award/bid
1795	莽	4791	91.6246025318	mang3	Illicium anisatum/rude
1796	胤	4789	91.6319309187	yin4	heir/inherit
1797	斜	4775	91.639237882	xie2	slanting
1798	诱	4774	91.6465433151	you4	entice/tempt
1799	激	4771	91.6538441575	ji1	to arouse/to incite/to excite/to stimulate/sharp/fierce/violent
1800	募	4771	91.6611449998	mu4	canvass for contributions/to recruit/to collect/to raise
1801	斤	4762	91.6684320698	jin1	catty/weight equal to 0.5 kg
1802	轩	4752	91.6757038373	xuan1	covered carriage/pavilion
1803	催	4751	91.6829740746	cui1	urge/press/expedite/prompt/hurry
1804	吓	4747	91.6902381908	xia4	to frighten/to scare/to intimidate/to threaten
1805	麟	4741	91.6974931255	lin2	female unicorn
1806	萨	4740	91.7047465299	sa4	(surname)/Bodhisattva
1807	抢	4737	91.7119953436	qiang1/qiang3	against wind, fight over/to rush/to scramble/to grab/to rob/to snatch
1808	酌	4734	91.7192395665	zhuo2	consider/pour wine
1809	嵩	4729	91.7264761382	song1	lofty/name of a mountain in Henan
1810	苗	4723	91.7337035283	miao2	(surname)/Miao tribe/sprout
1811	棺	4721	91.7409278579	guan1	coffin
1812	拍	4717	91.7481460665	pai1	to clap/to pat/to beat/to hit/to slap/to take (a picture)
1813	抑	4707	91.7553489726	yi4	to restrain/to restrict/to keep down/or
1814	伺	4701	91.7625426971	ci4/si4	wait on, to watch/to wait/to examine/to spy
1815	携	4687	91.7697149981	xie2	to carry/to take along/to bring along/to hold (hands)
1816	绪	4681	91.7768781176	xu4	beginnings/clues/mental state/thread
1817	陇	4670	91.7840244042	long3	Gansu
1818	姬	4666	91.7911645699	ji1	(surname)/women
1819	较	4662	91.7982986145	jiao4	clear/distinct/compare/comparatively
1820	姻	4645	91.8054066448	yin1	marriage connections
1821	欣	4642	91.8125100844	xin1	happy
1822	讫	4641	91.8196119937	qi4	finished
1823	澄	4640	91.8267123727	cheng2/deng4	clear and still water, clear/limpid/clarify/purify/(a surname), settle (liquid)
1824	伴	4639	91.8338112215	ban4	a partner/companion or associate/to accompany/comrade
1825	齿	4636	91.8409054795	chi3	tooth
1826	裳	4636	91.8479997375	chang2/shang	lower garment/skirts/petticoats/garments
1827	淌	4636	91.8550939956	tang3	drip/to shed (tears)
1828	禹	4629	91.8621775418	yu3	name of an emperor
1829	汴	4628	91.8692595578	bian4	name of a river in Henan/Henan
1830	埋	4617	91.876324741	mai2/man2	bury, to blame
1831	蔽	4616	91.8833883939	bi4	to cover/to shield/to screen/to conceal
1832	彪	4608	91.8904398048	biao1	a tiger-cat/stripes/streaks/veins
1833	抄	4597	91.8974743829	chao1	to copy/to plagiarize/to search and seize/to go/to transcribe/to take a shortcut/to search and confiscate
1834	漏	4592	91.9045013098	lou4	funnel/to leak/to let out/to divulge
1835	扯	4590	91.9115251761	che3	pull/tear/to talk casually
1836	罕	4585	91.9185413912	han3	rare
1837	笃	4585	91.9255576062	du3	serious (illness)/sincere/true
1838	挑	4579	91.9325646398	tiao1/tiao3	carry on a pole/choose, incite
1839	租	4577	91.9395686128	zu1	rent/taxes
1840	筵	4571	91.9465634043	yan2	bamboo mat for sitting
1841	誓	4567	91.9535520748	shi4	oath/vow/to swear/to pledge
1842	酰	4544	91.9605055494	xian1	(chem.) -acyl/acid radical
1843	恼	4538	91.9674498426	nao3	get mad
1844	眷	4530	91.9743818936	juan4	concern/wife and children
1845	返	4527	91.981309354	fan3	to return (to)
1846	倪	4525	91.9882337538	ni2	(surname)
1847	枉	4516	91.9951443813	wang3	in the wrong/in vain
1848	绕	4506	92.0020397063	rao4	go around/to wind (around)
1849	沿	4506	92.0089350313	yan2/yan4	along, riverside (with -r)
1850	摄	4503	92.0158257655	she4	assist/collect/absorb
1851	媒	4495	92.0227042577	mei2	medium/intermediary/matchmaker/go-between
1852	囊	4485	92.0295674474	nang2	sack
1853	擅	4481	92.036424516	shan4	usurp/without authority
1854	慧	4476	92.0432739334	hui4	intelligent
1855	拘	4463	92.0501034574	ju1	adhere/capture/restrain
1856	艘	4460	92.0569283907	sao1/sou1	measure word for warships (Taiwan pronunciation), measure word for boats and ships (mainland pronunciation)
1857	旬	4460	92.063753324	xun2	ten days/ten years
1858	泥	4455	92.070570606	ni2/ni4	mud/paste/pulp, restrained
1859	芝	4454	92.0773863578	zhi1	Zoysia pungens
1860	创	4451	92.0841975188	chuang1/chuang4	a wound/cut/injury/trauma, begin/initiate/inaugurate/start/create
1861	凌	4451	92.0910086798	ling2	encroach/soar/thick ice
1862	袍	4450	92.0978183106	pao2	gown (lined)
1863	伸	4449	92.1046264111	shen1	to stretch/to extend
1864	诰	4442	92.1114237998	gao4	enjoin/grant (a title)
1865	奋	4435	92.1182104768	fen4	exert oneself
1866	坠	4427	92.1249849117	zhui4	fall
1867	庞	4413	92.1317379231	pang2	(surname)/huge/enormous/tremendous
1868	畜	4413	92.1384909344	chu4/xu4	livestock/domesticated animal/domestic animal, to raise (animals)
1869	伍	4399	92.1452225222	wu3	associate with/five/company
1870	靡	4396	92.1519495192	mi2/mi3	wasted, extravagant/go with fashion/not
1871	融	4392	92.1586703953	rong2	harmonious/melt/mild
1872	添	4378	92.1653698477	tian1	to add/to increase/to replenish
1873	削	4377	92.1720677699	xiao1/xue1	to scrape, to reduce/to pare (away)/to cut (down)
1874	恃	4375	92.1787626316	shi4	rely upon
1875	零	4357	92.1854299488	ling2	remnant/zero
1876	郁	4357	92.1920972659	yu4	(surname)/elegant, dense (growth)/melancholy
1877	昆	4353	92.198758462	kun1	Kunlun mountains, descendant/elder brother
1878	谅	4344	92.2054058858	liang4	forgive
1879	堤	4334	92.2120380071	di1	dike
1880	峰	4323	92.2186532956	feng1	peak/summit
1881	撞	4323	92.2252685841	zhuang4	to hit/to strike/to meet by accident/to run into/to bump against/to bump into
1882	架	4320	92.2318792818	jia4	to support/frame/rack/framework/measure word for planes, large vehicles, radios, etc.
1883	伞	4319	92.2384884493	san3	umbrella/parasol
1884	稀	4319	92.2450976167	xi1	diluted/sparse
1885	澹	4315	92.2517006632	dan4/tan2	tranquil/placid/quiet, (surname)
1886	绳	4308	92.2582929979	sheng2	rope
1887	帮	4303	92.2648776813	bang1	to assist/to support/to help/group/gang/party
1888	铮	4299	92.2714562437	zheng1	clang of metals/small gong
1889	耻	4286	92.2780149128	chi3	shame/disgrace
1890	披	4282	92.2845674608	pi1	scatter/separate/to open/to unroll/to spread out
1891	扫	4277	92.2911123576	sao3/sao4	to sweep, broom
1892	呆	4259	92.2976297098	dai1	foolish/stupid/no expression/stay, stay/stupid
1893	剩	4248	92.3041302293	sheng4	have as remainder
1894	厌	4245	92.3106261579	yan4	loathe
1895	电	4244	92.3171205564	dian4	electric/electricity/electrical
1896	枕	4239	92.3236073035	zhen3	pillow
1897	魁	4237	92.3300909901	kui2	chief/head
1898	骄	4236	92.3365731465	jiao1	proud/arrogant
1899	豆	4224	92.3430369398	dou4	bean/peas, bean/sacrificial vessel
1900	混	4223	92.3494992029	hun2/hun4	confused/dirty/mix, to mix/to get along/thoughtless
1901	塘	4217	92.3559522845	tang2	pond
1902	飘	4211	92.3623961845	piao1	to float
1903	恤	4211	92.3688400845	xu4	give relief/sympathy
1904	搜	4209	92.375280924	sou1	to search
1905	股	4206	92.3817171728	gu3	share/portion/section/part/thigh/(a measure word, e.g. use with electric current)/whiff
1906	宏	4188	92.388125877	hong2	spacious
1907	怠	4187	92.3945330509	dai4	idle/lazy/negligent/careless
1908	梗	4186	92.4009386946	geng3	stem
1909	杭	4183	92.4073397475	hang2	(surname)/Hangzhou
1910	寓	4154	92.413696423	yu4	reside/residence
1911	伙	4152	92.4200500381	huo3	assistant/furniture/partner
1912	馈	4145	92.4263929413	kui4	food/make a present
1913	啊	4142	92.4327312538	a1/a2/a3/a4/a	(interj.)/ah, an interjection/to express doubt or to question/to show realization/to stress, (interj. for surprise), oh (interjection), (a modal particle showing affirmation, approval, or consent)
1914	跃	4139	92.4390649756	yue4	to jump/to leap
1915	昂	4124	92.4453757435	ang2	high/raise (head), high/soaring/raise/lift/expensive/to raise one's head
1916	蓝	4118	92.4516773299	la/lan2	kohlrabi, blue
1917	褚	4115	92.4579743255	chu3	(surname)
1918	荽	4111	92.4642652001	sui1	coriander
1919	巢	4097	92.4705346512	chao2	nest
1920	瑶	4090	92.4767933905	yao2	(jade)/Yao/mother-of-pearl
1921	彻	4088	92.4830490693	che4	pervade/penetrate/pass through/thorough/penetrating
